Year,Number of Traffic Accident,Killed Person,Serious injury (person),Slight injury (person),Material Losses (Million Rp),Death_Rate (%),,
1992,19920,9819,13363,14846,"15,077",49.29,,
1993,17323,10038,11453,13037,"14,714",57.95,,
1994,17469,11004,11005,12215,"16,544",62.99,,
1995,16510,10990,9952,11873,"17,745",66.57,,
1996,15291,10869,8968,10374,"18,411",71.08,,
1997,17101,12308,9913,12699,"20,848",71.97,,
1998,14858,11694,8878,10609,"26,941",78.71,,
1999,12675,9917,7329,9385,"32,755",78.24,,
2000,12649,9536,7100,9518,"36,281",75.39,,
2001,12791,9522,6656,9181,"37,617",74.44,,
2002,12267,8762,6012,8929,"41,030",71.43,,
2003,13399,9856,6142,8694,"45,778",73.56,,
2004,17732,11204,8983,12084,"53,044",63.19,,
2005,91623,16115,35891,51317,"51,556",17.59,,
2006,87020,15762,33282,52310,"81,848",18.11,,
2007,49553,16955,20181,46827,"103,289",34.22,,
2008,59164,20188,23440,55731,"131,207",34.12,,
2009,62960,19979,23469,62936,"136,285",31.73,,
2010,66488,19873,26196,63809,"158,259",29.89,,
2011,108696,31195,35285,108945,"217,435",28.70,,
2012,117949,29544,39704,128312,"298,627",25.05,,
2013,100106,26416,28438,110448,"255,864",26.39,,
2014,95906,28297,26840,109741,"250,021",29.50,,
2015,96233,24275,22454,107743,"215,892",25.23,,
2016,106644,31262,20075,120532,"229,137",29.31,,
2017,104327,30694,14559,121575,"217,031",29.42,,
2018,109215,29472,13315,130571,"213,866",26.99,,
2019,116411,25671,12475,137342,"254,779",22.05,,
2020,100028,23529,10751,113518,"198,456",23.52,,
2021,103645,25266,10553,117913,"246,653",24.38,,
2022,139258,28131,13364,160449,"280,009",20.20,,
2023,152008,27895,15154,180920,"307,693",18.35,,
2024,150906,26839,16601,183995,"305,291",17.79,,
